tc_EPID,tc_EquipmentGroupID,tc_EquipmentUnitID,tc_ExpDurationHrs,tc_ExpEPCount,tc_ExpEndDatetime,tc_ExpStartDatetime,tc_ExperimentID,tc_Latitude,tc_Longitude,tc_C1MassFlow,tc_C1MassFlowUncertainty
4T-32,4T,4T-3,1.500277778,1,2022-04-19 17:32:45+00:00,2022-04-19 16:02:44+00:00,20220419001,40.5958375,-105.1398447,2849.156778,192.4391415
4W-22,4W,4W-2,5.749722222,1,2022-04-19 13:02:40+00:00,2022-04-19 07:17:41+00:00,20220418009,40.59595283,-105.1402622,536.1759445,81.24724853
5S-23,5S,5S-2,5.5,1,2022-04-19 05:17:39+00:00,2022-04-18 23:47:39+00:00,20220418007,40.59592817,-105.1394038,596.370185,54.39162521
5W-32,5W,5W-3,2.500277778,2,2022-04-18 21:17:38+00:00,2022-04-18 18:47:37+00:00,20220418005,40.59567883,-105.1393703,1734.722127,55.41508245
4W-22,4W,4W-2,2.500277778,2,2022-04-18 21:17:38+00:00,2022-04-18 18:47:37+00:00,20220418005,40.59595283,-105.1402622,670.1508682,32.94981331
4S-23,4S,4S-2,0.499722222,2,2022-04-18 16:47:36+00:00,2022-04-18 16:17:37+00:00,20220418003,40.59563067,-105.1402638,2080.036347,161.5133658
5S-21,5S,5S-2,5.5,1,2022-04-18 06:04:07+00:00,2022-04-18 00:34:07+00:00,20220417005,40.59593583,-105.1393965,684.2620262,40.21879318
4S-31,4S,4S-3,2.750277778,1,2022-04-17 21:34:02+00:00,2022-04-17 18:49:01+00:00,20220417003,40.59564767,-105.1403063,1462.482314,147.8789985
4T-31,4T,4T-3,2.5,1,2022-04-17 16:48:57+00:00,2022-04-17 14:18:57+00:00,20220417001,40.59583017,-105.139824,2169.121372,148.3721303
4S-31,4S,4S-3,3,1,2022-04-16 15:20:48+00:00,2022-04-16 12:20:48+00:00,20220416003,40.59564767,-105.1403063,1478.027526,150.1211191
4S-43,4S,4S-4,1.5,1,2022-04-15 20:41:28+00:00,2022-04-15 19:11:28+00:00,20220415007,40.59564283,-105.1403473,4517.879555,199.947265
4T-31,4T,4T-3,2.250277778,2,2022-04-15 16:11:23+00:00,2022-04-15 13:56:22+00:00,20220415005,40.59583017,-105.139824,1852.604363,159.5470276
5W-31,5W,5W-3,1,2,2022-04-15 11:56:18+00:00,2022-04-15 10:56:18+00:00,20220415003,40.59568017,-105.1393735,1827.85959,46.15971733
5W-21,5W,5W-2,3.183333333,4,2022-04-15 07:56:13+00:00,2022-04-15 04:45:13+00:00,20220415001,40.59565283,-105.1394052,290.4824949,29.32540141
4S-43,4S,4S-4,0.999722222,1,2022-04-14 17:22:04+00:00,2022-04-14 16:22:05+00:00,20220414002,40.59564283,-105.1403473,4530.0889,181.9329279
5S-27,5S,5S-2,2.5,2,2022-04-14 00:22:50+00:00,2022-04-13 21:52:50+00:00,20220413003,40.59592467,-105.1393833,1810.231222,48.59336991
4W-27,4W,4W-2,2.5,2,2022-04-14 00:22:50+00:00,2022-04-13 21:52:50+00:00,20220413003,40.59593483,-105.1402633,1405.247442,50.38330146
5W-32,5W,5W-3,2.000277778,2,2022-04-13 17:52:49+00:00,2022-04-13 15:52:48+00:00,20220413001,40.59567883,-105.1393703,1841.77789,49.53786421
4S-23,4S,4S-2,1,1,2022-04-12 17:48:28+00:00,2022-04-12 16:48:28+00:00,20220412001,40.59563067,-105.1402638,3762.650624,160.9674161
5S-28,5S,5S-2,7.183333333,4,2022-04-12 13:48:25+00:00,2022-04-12 06:37:25+00:00,20220411010,40.59593183,-105.1393905,304.8596985,29.75587439
5W-110,5W,5W-1,4.683333333,3,2022-04-10 02:00:06+00:00,2022-04-09 21:19:06+00:00,20220409001,40.59562167,-105.139431,544.217743,28.86619023
4S-42,4S,4S-4,4.183333333,3,2022-04-09 16:14:32+00:00,2022-04-09 12:03:32+00:00,20220408008,40.59566533,-105.1403468,996.1248501,51.54571698
4S-12,4S,4S-1,6,2,2022-04-09 10:03:29+00:00,2022-04-09 04:03:29+00:00,20220408006,40.59561917,-105.1402258,8.360844045,26.81997369
